P|4,7|8.7759,36.4913;8.7800,36.4789;8.7800,36.4294;8.7635,36.4088;8.7594,36.3593;8.7882,36.3469;8.7924,36.3387;8.7924,36.3181;8.7841,36.2974;8.7924,36.2809;8.7924,36.2603;8.8171,36.2480;8.8542,36.2067
P|4|8.8542,36.2067;8.8460,36.1985;8.7924,36.1737;8.7676,36.1655;8.7346,36.1696;8.7099,36.1820
M|15,19|10.5287,36.3923;10.5164,36.3717;10.4463,36.2851;10.4339,36.2644;10.4215,36.1861;10.4050,36.1531;10.3885,36.1283
P|4|8.7099,36.1820;8.6975,36.1737;8.6686,36.1283;8.6439,36.1118
P|4|7.9716,36.3016;7.9881,36.2974;8.0252,36.2686;8.0458,36.2438;8.1036,36.2191;8.1737,36.2150;8.2149,36.2232;8.2397,36.2150;8.2686,36.2191;8.2974,36.2315;8.3263,36.2356;8.3634,36.2273;8.4170,36.1613;8.4583,36.1407;8.5696,36.1283;8.6439,36.1118
P|18,23|9.8400,36.3304;9.8152,36.3016;9.8070,36.2809;9.7946,36.2686;9.7657,36.2603;9.7410,36.2232;9.6502,36.1778;9.6296,36.1490;9.6172,36.1407;9.5966,36.1160;9.5719,36.0953;9.5389,36.0871;9.4770,36.0582;9.4523,36.0541;9.4069,36.0624;9.3822,36.0871;9.3780,36.0995
P|18|9.3780,36.0995;9.3492,36.0830;9.3038,36.0500;9.2254,35.9180;9.2048,35.9098
P|18|9.2048,35.9098;9.2131,35.8891;9.2048,35.8685;9.2089,35.8561
M|19|10.3885,36.1283;10.3885,36.0953;10.4091,36.0335;10.4174,36.0170;10.4586,35.9716;10.5040,35.9427;10.5287,35.9221;10.5535,35.8933;10.5865,35.8685;10.6195,35.8273
P|4,18|9.2089,35.8561;9.1759,35.8809;9.1429,35.8891;9.1141,35.8850;9.0976,35.8726;9.0357,35.8479;8.9821,35.8190
P|4|8.7099,36.1820;8.7016,36.1572;8.7099,36.1242;8.7222,36.1036;8.7470,36.0789;8.7676,36.0294;8.7924,36.0170;8.8047,36.0046;8.8089,35.9799;8.8254,35.9469;8.8625,35.9221;8.8790,35.9015;8.9078,35.8933;8.9450,35.8603;8.9821,35.8190
P|19|10.6195,35.8273;10.6236,35.7984;10.6112,35.7778;10.5824,35.7448;10.5741,35.7159
P|8,19|10.3885,36.1283;10.3761,36.1242;10.3596,36.1077;10.3349,36.0665;10.3143,36.0211;10.3060,35.9881;10.2854,35.9345;10.2730,35.9139;10.2153,35.8768;10.1617,35.8314;10.1122,35.7778;10.0957,35.7324;10.0916,35.6788
P|8,23|10.0916,35.6788;10.0503,35.6912;10.0214,35.7035;9.9802,35.7613;9.9761,35.7860;9.9967,35.8231;10.0132,35.8644;10.0132,35.9015;10.0049,35.9386;10.0173,35.9634;10.0421,35.9964;10.0627,36.0417;10.0586,36.0789;10.0709,36.1366;10.0586,36.1737;10.0627,36.1820;10.0338,36.1985;10.0214,36.2232;10.0297,36.2356;10.0256,36.2562;10.0049,36.2809;9.9555,36.3016;9.9307,36.3263;9.9225,36.3387;9.9142,36.3676
P|8,19|10.5741,35.7159;10.5246,35.7035;10.4875,35.6994;10.4545,35.7035;10.4174,35.6870;10.3803,35.6829;10.3308,35.6705;10.1575,35.6705;10.0874,35.6623
P|4,9|8.9821,35.8190;8.8501,35.7778;8.8377,35.7778;8.7882,35.7530;8.7181,35.7324;8.6686,35.7118;8.6233,35.6788;8.5944,35.6499
P|4,9|8.6439,36.1118;8.6315,36.0953;8.6109,36.0376;8.5573,35.9386;8.5531,35.9139;8.5614,35.8891;8.5531,35.8479;8.5738,35.7736;8.5779,35.7283;8.5738,35.6623;8.5944,35.6499
P|8|10.0874,35.6623;10.0503,35.6582;10.0049,35.6458;9.8936,35.6045;9.8565,35.5963
P|11,13,19|11.0237,35.4684;11.0278,35.4849;10.9989,35.5179;10.9907,35.5427;10.9989,35.6004;10.9824,35.6375;10.9536,35.6334;10.9371,35.6252;10.8958,35.6334;10.8752,35.6582;10.8257,35.6664;10.7968,35.6747;10.7927,35.6870;10.7927,35.7283;10.8051,35.7613;10.7886,35.7654;10.7185,35.7571;10.6896,35.7613;10.6649,35.7819;10.6360,35.8149;10.6195,35.8273
P|9|8.5944,35.6499;8.5861,35.6375;8.5408,35.6128;8.4954,35.5963;8.4583,35.5715;8.4253,35.5798;8.3552,35.5715;8.3263,35.5592;8.2974,35.5344;8.2809,35.5262;8.2356,35.5179;8.1737,35.4519;8.1366,35.4189;8.1325,35.3983
P|8|10.0874,35.6623;10.0544,35.5963;10.0421,35.5592;10.0586,35.5386;10.0668,35.5138;10.0627,35.4767;10.0668,35.4396;10.0709,35.4272;10.0586,35.3983
P|8,17|9.8565,35.5963;9.7492,35.5592;9.7327,35.5468;9.7245,35.5138;9.7162,35.5056;9.5801,35.4313;9.5595,35.4107;9.5224,35.3942;9.5018,35.3736;9.4646,35.3612;9.4481,35.3406;9.3780,35.3158
